"","V1","country","designation","points","price","province","region_1","region_2","taster_name","title","variety","winery"
"1",1,"Portugal","Avidagos",87,"Premium","Douro","Douro","Douro","Roger Voss","Quinta dos Avidagos 2011 Avidagos Red (Douro)","Portuguese Red","Quinta dos Avidagos"
"2",2,"US","No Wine Designation",87,"Value Premium","Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","Rainstorm 2013 Pinot Gris (Willamette Valley)","Pinot Gris","Rainstorm"
"3",3,"US","Reserve Late Harvest",87,"Value Premium","Michigan","Lake Michigan Shore","Lake Michigan Shore","Alexander Peartree","St. Julian 2013 Reserve Late Harvest Riesling (Lake Michigan Shore)","Riesling","St. Julian"
"4",4,"US","Vintner's Reserve Wild Child Block",87,"Luxury","Oregon","Willamette Valley","Willamette Valley","Paul Gregutt","Sweet Cheeks 2012 Vintner's Reserve Wild Child Block Pinot Noir (Willamette Valley)","Pinot Noir","Sweet Cheeks"
"5",5,"Spain","Ars In Vitro",87,"Premium","Northern Spain","Navarra","Navarra","Michael Schachner","Tandem 2011 Ars In Vitro Tempranillo-Merlot (Navarra)","Tempranillo-Merlot","Tandem"
"6",6,"Italy","Belsito",87,"Premium","Sicily & Sardinia","Vittoria","Vittoria","Kerin O’Keefe","Terre di Giurfo 2013 Belsito Frappato (Vittoria)","Frappato","Terre di Giurfo"
"7",7,"France","No Wine Designation",87,"Super Premium","Alsace","Alsace","Alsace","Roger Voss","Trimbach 2012 Gewurztraminer (Alsace)","Gewürztraminer","Trimbach"
"8",8,"Germany","Shine",87,"Value Premium","Rheinhessen","Rheinhessen","Rheinhessen","Anna Lee C. Iijima","Heinz Eifel 2013 Shine Gewürztraminer (Rheinhessen)","Gewürztraminer","Heinz Eifel"
"9",9,"France","Les Natures",87,"Super Premium","Alsace","Alsace","Alsace","Roger Voss","Jean-Baptiste Adam 2012 Les Natures Pinot Gris (Alsace)","Pinot Gris","Jean-Baptiste Adam"
"10",10,"US","Mountain Cuvée",87,"Premium","California","Napa Valley","Napa","Virginie Boone","Kirkland Signature 2011 Mountain Cuvée Cabernet Sauvignon (Napa Valley)","Cabernet Sauvignon","Kirkland Signature"
"11",11,"France","No Wine Designation",87,"Ultra Premium","Alsace","Alsace","Alsace","Roger Voss","Leon Beyer 2012 Gewurztraminer (Alsace)","Gewürztraminer","Leon Beyer"
"12",12,"US","No Wine Designation",87,"Ultra Premium","California","Alexander Valley","Sonoma","Virginie Boone","Louis M. Martini 2012 Cabernet Sauvignon (Alexander Valley)","Cabernet Sauvignon","Louis M. Martini"
"13",14,"US","No Wine Designation",87,"Value Premium","California","Central Coast","Central Coast","Matt Kettmann","Mirassou 2012 Chardonnay (Central Coast)","Chardonnay","Mirassou"
